text,task_1,split
guy longtime gop strategist  us already thought republicans bunch shit brains trumpelstilskin much pissed fuckeey going dc     fuckthegop  fucktrump https   co ysmonittaz,HOF,train
dumbass chief dumbassery   fucktrump https   co agxt pnv z,HOF,train
 amvetsupport stepped things integrity donald trump   fucktrump,HOF,train
seen rally yesterday      translation   leave hostel  party office  order enter hostel  one needs clear neet exam  capability      savethedoctors  savethesaviours  doctorsfightback https   co gqymf cfte,HOF,train
 citynews  twitter think done quite enough already  murderer  ojsimpson,HOF,train
tax payers money used feed harbour nasty dirty criminals  forbid order ask death coz ready contribute tax feed people  condemn  rapist  murder child abuser  justiceforkathua union law minister india https   co ddfvivcq v,HOF,train
body choice  fu  realdonaldtrump  love trumps hate  douchebag  stupid  moroninchief  hatefultrump https   co vfsr pivnq,HOF,train
 aoc need stop lying go back bartender  hyde abortion   murderer,HOF,train
 gop anyone party balls stand  orangefoolious right constituents america  changed parties spineless attitudes hate towards women   fucktrump  bebest  maga  americafirst,HOF,train
way things going   stormzy  line  f ck government f ck boris  relevant ever      borisjohnsonshouldnotbepm,HOF,train
caption needed     imrankhanprimeminister  imrangoldsmith  imranhataomulkbachao https   co j oquerp c,HOF,train
happy  johnmccainday  realdonaldtrump fat piece shit   fucktrump https   co kzt pk ogj,HOF,train
course  vp fucking bigot former person indiana go fuck mike pence big piece shit  realdonaldtrump  fucktrump  fuckmikepence https   co vbgueb   n,HOF,train
 sarahsanders leaving post worst lying press secretary united states  america  men unfit lead anything  sarah disgraceful   badchristian  godlesswomen  would support  douchebag  grabbed  pussytrump  bbw,HOF,train
 realdonaldtrump    realdonaldtrump  fucktrump  trump      gettin ready watch fox n friends idiot buddy  dog vomit trump https   co bagmlwbqzf,HOF,train
 realdonaldtrump happy birthday traitor   johnmccainday  trumpisatraitor https   co soefdk mrp,HOF,train
 timesnow  isamiakapoor bloody hypocrites   incindia though decimated stop fingering  want   see name  rahulgandhi take oath taking   drswamy respond courts british citizenship   pragyaoathrow  congresskaanyay  congressmuktbharat  httweets  amitshahoffice,HOF,train
power hungry little boy trying please daddy stupid realize psychopath putin played  yup  donny stupid  insecure  immature  greedy  angry  foolish loser  narcissisticpersonalitydisorder  oh       happy birthday  mother fucker   fucktrump  impeachtrump,HOF,train
 dickhead    realdonaldtrump rushes damage control saying accept foreign help      https   co gninra suy,HOF,train
literally f   king flag       flagday    trumpisatraitor https   co ublrghz,HOF,train
 realdonaldtrump  marshablackburn blocked bill would make already illegal  illegal    illegal accept foreign help election campaign    broke law  amp  said    good laws president willing ignore   fucktrump,HOF,train
please people  target total  rude  entitled  douchebag employees  blame craziness    targetdown ,HOF,train
fuck sake  mums got sore throat came goes doctor says inflamed vulva think mean uvula mum  pic twitter com gluv gjrc ,HOF,train
couple separated thousands miles  hunger strike  daughter separated mum whilst starves jail   boris johnson fucked  n nthats one family  ambition  fuck entire nation   generalelectionnow pic twitter com alhhsutybz,HOF,train
protests held dr  kafeel  payal incidences violence doctors  lot bjp       ima upper middle class  upper caste doctors get outraged bcuz mamta benerjee target   doctorsprotest   doctorsfightback  savethedoctors,HOF,train
 emmabarnett mps support candidate serial misbehaviour pm   borisjohnsonshouldnotbepm   face music come election   borisjohnson blankey blank candidate bothered defend suppose stand  back blank brain ,HOF,train
future prime minister   possibly happen  right     johnson   badly hurt     guppy    probably get couple black eyes  cracked rib something like    https   co q   zqgt x     borisjohnsonshouldnotbepm    bollockstobrexit https   co wzrheaefua,HOF,train
 matthancock course would    idiots always back idiots    sense  clearly case  would put people first call  generalelectionnow  choice      borisjohnsonshouldnotbepm   conservativesignoretheirownvotersforprofit,HOF,train
pray    june       waited   years epic encounter shit planning worldcup matches  shameonicc  indvspak  cwc    cricketworldcup  icc  bcci https   co xudpcce qr,HOF,train
 rangzen people  stop fake activist troll ruining  freetibet movement       tibetans  humanrights  boycottchina  dharamsala  march    tibetan  dalailama  bhorangzen https   co hs  goqis ,HOF,train
search  best toilet paper world  google  thanks sundar pichai      terroristnationpakistan,HOF,train
 bigcrock    first thing learned means  rapist,HOF,train
adam silver hardcore bdsm  still figuring role plays  absolutely cringe tastic  also bodies buried backyard     thinking  murderer,HOF,train
u cannot get irritated jobless indians making memes rain affected  cwc     cuz one games india washed  weather  unpredictable  world cups played time around  fucking trend  shameonicc   idiots,HOF,train
brightest minds walk yard  harvard  responsibility university provide safe environment minds thrive leaders  world need  rapist support rapist leaders  leaders set path ,HOF,train
voter  trump lies change vote  resist  resisttrump  fucktrump https   co vxcpcajw,HOF,train
 gandinaaliabuse    unhappy modiji  call names asked leave country   waris pathan first leave along owaisi find place live world everyone reject hypocrats like ,HOF,train
enduring test public safety sirens  help wonder different would candidate votes actually president   hillaryclinton  brianschatz  maziehirono  idiottrump,HOF,train
 sentedcruz didnt vote repeal sanction oleg deripaska rusal  doesnt rusal process aluminum nuclear devices  work us russia  hypocrite much   trumptantrum  trumpisatraitor  trumpcrimefamily  trumpconcentrationcamps  trumpcriminalinvestigations,HOF,train
latino friends   liar  fucksarahsanders  fucktrump  votebluenomatterwho     https   co bvqu akvib,HOF,train
fuck  really want idiot  borisjohnson charge country even function mayor   inepttoryparty  generalelectionow  torysout  borisjohnsonshouldnotbepm https   co hkacqxhxyc,HOF,train
dear  icc focus umpiring skills rather  msdhoni gloves  bcci  supportdhoni  msd  dhonikeepstheglove https   co h bdjla ,HOF,train
empty space place vacuous  bumbling  lying  racist  boris  clear  trump admires   borisjohnsonshouldnotbepm https   co hl   ucgrd,HOF,train
 gailendavid  presssec  realdonaldtrump going quickly throw ass retirement home done soon get chance   fucktrump,HOF,train
washington  ap upi lmnop    sources confirm white house intends cut middleman replace outgoing press secretary sarah huckabee steaming pile horseshit            whitehouse  fucktrump  gtfo  byefelicia   photoshop  davesart  https   co nmbm h e https   co rv  jwvpfg,HOF,train
idiot trump gets harpooned  prince whales  spelling error   trumpstupid   prince wales  baffoon   trumpisanationaldisgrace   trumpisnotabovethelaw  trumpisatraitor  trumpisaliar  nomoretrumpism   obstruction   voteblue     demcrats https   co    hwu dxg,HOF,train
 wvjoe    old white men  jesus help us    fuckevangelicals  fucktrump  fuckgop,HOF,train
ok mr    disaster cannot get internet coffee shop  dickhead,HOF,train
john dean  honored trump enemies list  resist  resisttrump  fucktrump https   co  ksf ptdf ,HOF,train
 henriettahumpl  really clever   ever thought writing something  dickhead  auspol,HOF,train
yesterday england got   points bcz rain lost     icc   bcci   cricketworldcup   shameonicc,HOF,train
two stupid fucks look like  bumass crackheads little bud  vg l gay   life see  dick riding bitch   pic twitter com tjanqyqtrn,HOF,train
 icc  iccmediacomms  cricketworldcup    msdhoni violate rules u r showing double standards     dhonikeepstheglove https   co wc bfyah g,HOF,train
 doctorsfightback  mamataofficial wants raise outsiders issue   outsiders   west bengal  illegal bangladeshis  amp  rohingyas fraudulently given citizenship credentials  amp  people needs kicked  amp  doctors ,HOF,train
great round last night televised debate  johnjcrace  say democracy dead yet   c debate  brexit  borisjohnsonshouldnotbepm    silence golden boris lectern wins tory televised debate   john crace https   co  j piqreeh,HOF,train
 realdonaldtrump question exclamation                  senileaf  stablegenius  racist  rapist  pervert  treason  resist  unstablepresident,HOF,train
 stop trump    resistancenow   stupid  realdonaldtrump   faux king  potus   night november  rd          shame   trumpforprison        trumpforprison    trumpforjail        trumpisatraitor   dumbdonald    desperate  donaldtrump    impeachtrumpnow    impeachtrump    trumpisacriminal    impeachtrump    fbrparty  fbr,HOF,train
saying obama president never lost canada basket ball  fucktrump   raptors https   co su g  j ao   impeachthemotherfucker   warriors   releasethefullmuellerreport  robertmueller  https   co ceoplkbzx ,HOF,train
 coverup  palestinian identity robert kennedy  murderer    read   https   co uiogmqdmen https   co bsvxyw rlt,HOF,train
yup thanks trump  fucktrump https   co qtkokputp ,HOF,train
mrs  mamata banerjee fell ill  call police doctors    doctorsstrike   doctorsprotest   istandwithnrs   doctorsfightback https   co cbpbfnvx,HOF,train
going war  hey countries pd traitor trump kush  making happen  right start ,HOF,train
 icc silent    shameonicc  cwc      cwc    icc   icc     bcci punish  icc  incompetency poor management lack vision responsibility         republic bharat  republic plzz tag    icc  members   https   co  pmx xgc,HOF,train
mollas khokla desh bhakts  gandinaaliabuse,HOF,train
 govhowarddean  jackieo american treasure inspired millions americans made us proud  melania russian whore   putin left     trumpisatraitor   johnmccaindayjune     flotus https   co hxtemf xx ,HOF,train
 realtuckfrumper matter bottom barrel    trumpisatraitor,HOF,train
 pmanley    hmrcgovuk let roooooaaaar   loanchargesuicides   tigerboy  philbert  murderer https   co ynxh  lnse,HOF,train
 funder one feels like longer question  trumpisatraitor  rather republicans still americans ,HOF,train
dear pm  n nwe voted development poor people spending much yoga water  education fever bihar right dear pm voted development poor people spending much yoga water  education fever bihar right ,HOF,train
 khanamad     moeednj  gvs news  porki country produce rectums    surgical strike    surgical strike       balakotairstrike    f    shamelessly returned capture pilot    hrs  announced  jihadi  pm  imranhataomulkbachao    ventilator  bailout package  imf   way go ,HOF,train
lmfao look  rocky really  dickhead  broteinshake   dontatme    https   co dsdrwfp gc,HOF,train
 realdonaldtrump fantastic news  ignoring child father day golf one kisses feet   lindseygrahamsc  must delighted favoured one today      locktrumpup   impeachmentinquirynow   impeachtrump   impeachbarr   impeachmnuchin   trumpisatraitor,HOF,train
 trumpisatraitor    impeachtrumpnow   accomplished nothing except total destruction  achievements respected predecessor benefitted usa  demolishing everything made america great    really utter moron  https   co jftiqrapl ,HOF,train
good riddance lying sack    trumpisatraitor    trumpmustresign    johnmccainday    sarahsandersresigns https   co ine ukeee ,HOF,train
 guyverhofstadt try forget  dickhead speak majority people country guy    ,HOF,train
even one closest allies defend reprehensible words   trumpisatraitor  fakepresident https   co bpxjzfrrbk,HOF,train
seriously  f  k happen        trumpisatraitor  trumpisafraud  trumpisamoron  trumpisadisgrace    trumplieseverytimehespeaks  trumpmustgo  theresistance https   co khv bn ecz,HOF,train
found pretty good image  trumptrain  feel free share   besafeoutthere  trumptrain  trumpparty  muellerandfriends   angrydemocrats  trumptrain      choochoo  fucktrump https   co wviewspr p,HOF,train
 murderer  therealoj      k followers  sick ,HOF,train
 always  dickhead https   co p fpgt qa ,HOF,train
 senatemajldr lying america hiding legislation debate votes  believe  senate majority  bring bills floor  right side issue win  gtfo   republicansocialism  goptreason  complicitgop  fucktrump,HOF,train
 channel   borisjohnson  borisjohnson much coward turn  channel  program   people might see simpleton  genius turn    conservativeleadership  borisjohnsonshouldnotbepm  news  tvdebate,HOF,train
fuck babies sit wierd ways like without breaking whole shits     itdontmakenosense pic twitter com xcpoerawfw,HOF,train
abu taher khan  mp  aitc threatened junior doctors murshidabad medical college  amp  hosptital publicly provoked others attack    shame legislator shame       r afraid threatening      juniordoctorsunity  doctorsfightback,HOF,train
 kimkardashian  ivankatrump kardashian politician   nothing proud   daily photos people need help better photos wealthy assholes laughing rest us    trump  trumpisatraitor  trumpsaninternationaldisgrace  ivankatrump,HOF,train
 ojsimpson   shit hear comes mouth  murderer,HOF,train
     doctors recommend moving west bengal  shame  mamataofficial      doctorsprotest  savethedoctors  savebengal  mamatabanerjee  jaishreeram  doctorsfightback,HOF,train
 realdonaldtrump american people demand treasonous fake potus  realdonaldtrump vacates white house immediately   trumpisanationalsecuritythreat  trumpisadomesticterrorist  trumpisacriminal  trumpisatraitor  trumpisafraud  impeachdonaldtrumpnow  votebluetosaveamerica,HOF,train
proud  msdhoni using balidaan badge glove     icc take objection  allow big commercial brands logo national pride    utter nonsense     dhonikeepstheglove  bcci,HOF,train
 tomilahren  realdonaldtrump know loves molesting   trumpisatraitor  trumpisatraitor  johnmccaindayjune  th,HOF,train
dhoni wearing glove big deal icc   dhonikeepstheglove,HOF,train
 sir ahmedrufai oga ahmed  would love report came gave friend know head rapist guys way police hand useless head  need support back done   rapist  must die,HOF,train
icc rain world cup           shameonicc  cwc    indvnz  fridaymotivation  nbafinals  imbhupensingh    icc  bcci  cricketworldcup https   co dnoffjalew,HOF,train
 kennedynation thought minute name prickard thought yep   explains intellect     put glasses realized  douchebag,HOF,train
 realdonaldtrump donnie     saying mean  let baby trump blimp fly  let thousands protesters line streets london       donnie disgrace     trumpisadisgrace  trumpisacriminal  trumpisatraitor,HOF,train
 repadamschiff  repadamschiff   career politican quoting ethics   funny    scumbag  douchebag  smalldicksyndrome,HOF,train
 hittsvora  rahulgandhi true character  raga begins another term buffoonery  congressmuktbharat way forward nation,HOF,train
douche nozzle   fucktrump  bebest  maga  americafirst https   co  pvuoyfmk ,HOF,train
holy  fucking  shit       realdonaldtrump absolute menice good democracy nation  worst part  kool aid drinking deplorable followers think ok   fucktrump  notmypresident  epicfailure  criminal  impeachnow https   co undhssuqrb,HOF,train
 gandinaaliabuse   vikaas gone dogs  object law followed  waris pathan  mla  aimim   advocate n,HOF,train
protest  mamataofficial  egoistic megalomaniac completely fine     hell indian medical association kafeelkhan witch hunted yogi adityanath    doctorsfightback,HOF,train
 indiawithdhoni    dear  icc      biased english players  support armies  players    question  icc      dhonikeepstheglove,HOF,train
one could predicted evil fucker created fake charity used steal money raised children cancer would evil fucker denying sick imprisoned migrant babies access doctors medicine even soap  fuck sake,HOF,train
 fucktrump   happy birthday mr  president  hope candles blow direction sprayed hair   sticky looking mother fucker soul  aint time see dr     long past due ,HOF,train
 alabama       rapists     get  parental rights      teen raped  rapist  get  abortion  must let  rapist see child     https   co c aecd jal  auburn  huntsville  birmingham   montgomery  tuscaloosa  florencesc  dothan  gadsen  orangebeach,HOF,train
oj press secretary   oj key attributes      natural born liar  natural born swindler  natural born killer   come trump    waiting    tuckfrump    trumpisatraitor    trumptantrum    bluewave,HOF,train
 potus  dickhead  r   https   co lnpoamjos ,HOF,train
muslim  n nmy food business nmy dress business  nmy faith business  nmy marriage business  nmy prayer business n ni poke business  poke business  thank ,HOF,train
 realdonaldtrump even spell constitution   criminal  coward  traitor  douchebag https   co jcickv naw,HOF,train
 svershbow  billmaher  continues try sooooo hard remain relevant   msm one cares  lowratings  lowiq  drugaddict  sexfiend  douchebag,HOF,train
 realdonaldtrump corrupt incompetent  aligns murderous dictators trusts dedicated hardworking intelligence officers  must unite remove landslide election   disgrace  trumpisatraitor https   co sx xovljzo,HOF,train
secret behind game      indiavspakistan    terroristnationpakistan https   co jdxn vyo x,HOF,train
 icc    dhonikeepstheglove   double standard   shame  icc https   co ftymkdir,HOF,train
 therealoj   belong jail hell  murderer  justicefornicoleandron,HOF,train
 realdonaldtrump  ok      christopher steele concerned finding contacted fbi  right      trump campaign  amp  trump family done      trumpisatraitor   trumpmustgo,HOF,train
trump traitor  period      trumpisatraitor https   co  wttktuaq ,HOF,train
 stonecold     keeping fucked family    fucktrump   fuckallthetrumps,HOF,train
 tedlieu  realdonaldtrump  potus fool  idiottrump,HOF,train
boris johnson  brilliant  warm  funny   totally unfit pm   max hastings   opinion   guardian https   co bdmvxngi h   borisjohnsonshouldnotbepm,HOF,train
 trumpisatraitor  amp  engaging criminal activities gop senate condones  amp  remain silent  https   co im fucftdp,HOF,train
 realdonaldtrump point  think trump rummaging deck garbage pail kids come nicknames   next upchuck schumer       idiottrump  impeachtrump  lockhimup,HOF,train
 tgeffen  darwinwoodka  lucasroman  imagineworldas   realdonaldtrump destroyed country  need  dragged ugly orange roots pissed   impeachtrump  fucktrump,HOF,train
 brasilmagic  gopchairwoman  realdonaldtrump since admitted would take info requires payment implying obviously since russia favors making payments entire presidency   russianasset  trumpisatraitor  trumpisadisgrace  pornqueenflotus  pornhub,HOF,train
dear  icc    reserve days wc matches  wc match u r regular  dy matches  comes   year  u vigilant choosing venues    apologise every cricket fans mess      shameonicc   engvwi https   co  sn ngnavz,HOF,train
rules  amp  gloves        may dance ritual team god     till made clear people keep thinking rules partisan  icc  dhonikeepstheglove,HOF,train
children dying bihar cares yoga mp dinner important,HOF,train
basically vegan  dickhead   https   co z spdxudxp,HOF,train
 douchebag  criminal president   realdonaldtrump  whitehouse  flotus https   co kgizelfttj,HOF,train
world gave saved trump  gets saved remove support gov   n qanon,HOF,train
us embassies defy trump administration ban pride flags   gaystarnews  https   co ru xvzcb k     fucktrump  trumpisaracist,HOF,train
kenneth clarke   way got bring government   tory veteran talks dismay  fantasies  leadership race fears boris johnson becomes pm https   co r x lxen   borisjohnsonshouldnotbepm    summerofresistance,HOF,train
trump level stupid    trumpisamoron   trumpisatraitor https   co q gaomc yg,HOF,train
 miriam      happyjohnmccainday  johnmccainday  john mccain   war hero  president pinocchio  realdonaldtrump draft dodger  traitor  trumpisatraitor  ,HOF,train
try support  ass return  fuck anyways  like asses regardless  also  abolishice  fucktrump,HOF,train
never forgive motherfucker people covered  complicit  rapist  fuckbrettkavanaugh https   co c ritwkxv ,HOF,train
 schreibernews  rockinghamalert  unionleader hopefully wakes every morning next   months beating  goes bed another   douchebag,HOF,train
happy  johnmccainday      impeachtrumpnow      fucktrump    fucktrumpjunior https   co yqyuelzd,HOF,train
rest world cup played       shameonicc  cwc   https   co cno fbhbtq,HOF,train
  therealoj   welcome twitter  murderer  case anyone forgot     years ago  oj simpson slaughtered two innocent people  one ex wife   circus trial  found guilty  found responsible civil jury ,HOF,train
 whitehouse hey   get flag   trumpisatraitor,HOF,train
good riddance lyin  sarah hucka bye  never believed  guilty aiding  liarinchief  lies american people  shame       trump demon   trumpisatraitor   sarahsanders  trumps  bigly  mouthpiece     https   co wt ytobe,HOF,train
practiced liar  borisjohnson scared making mistake tv debate earth going cope eu  refuse engage   borisjohnsonshouldnotbepm   deathofthetories  borisisajoke  runningscared,HOF,train
 shameonicc keeping reserve days   looks like ind vs pak get washed   get ready massive rage    icc  cricketworldcup  worldcup    ,HOF,train
meanwhile india     iaf men missing plane    six days  nobody idea became  pair gloves   important       dhonikeepstheglove,HOF,train
 leonpanetta   trump foreign dirt bombshell violates oath office       trumpisatraitor  https   co l hzijzcuo,HOF,train
always rained england chmpions trophy major tournaments  poor scheduling cwc      reserve day   poor ground conditions  poor preparations   shameonicc,HOF,train
 thequint wtf   mamataofficial ji nephew  kolkata mayor daughter  protesting doctors   outsiders  willingly ignoring blood relations petty political gains   doctorsfightback  doctorstrike,HOF,train
 wimbledon  icc sort communication      two final day  july    someone wrong planning important event  wc      shameonicc  iccworldcup      pathetic planning https   co kmjziie ,HOF,train
 mamataofficial r first cm state became satan  amp  villain entire country humiliating entire medical fraternity calling doctors protesting murderous assault colleague criminals  shame   doctorsfightback,HOF,train
 braddock     ea ugh  block   douchebag,HOF,train
cricket world cup swimming world cup      shameonicc  cwc   https   co gw ejczrxl,HOF,train
 pongo         dates       reminder one intelligent caring would ever trust  borisjohnson  way  always way  amoral way     borisjohnsonshouldnotbepm,HOF,train
 priyankagandhi said find workers work  elections        congress culture  complete failures  rahulgandhi   priyankagandhi  jm scindia responsible common workers   shameless bunch    congressmuktbharat needed better  india,HOF,train
day  remember man people respect   faje bone spurred coward  realdonaldtrump  fucktrump    today   war hero  johnmcain    johnmccaindayjune  ,HOF,train
 borisjohnson fuck  country fucking hates  pic twitter com  vmg zd ei,HOF,train
 funder   donald  fucktrump greatest   manypeoplesay probably greatest ever   globallaughingstock      tre  onenough    tre  enough    dumptrump,HOF,train
 realdonaldtrump tell us another one  liar   trumpisatraitor https   co rs qvafvkz,HOF,train
 conservatives elect  borisjohnson never vote   borisjohnsonshouldnotbepm  noshowboris,HOF,train
 queenmab    billmaher  continues try sooooo hard remain relevant   msm one cares  lowratings  lowiq  drugaddict  sexfiend  douchebag,HOF,train
 realdonaldtrump  usarmy trump piece   well serving proudly playing captain bone spurr studio    ny spending daddy money   prowling women like ivanka melania purple heart took veteran stated easy way get  fucktrump,HOF,train
 masterqgjinn  speed peete  fucktrump unethical administration ,HOF,train
 therealoj   wow  amazing even look public eye  public lie    murderer,HOF,train
 realdonaldtrump anyone committed treason   treasonoustrump        criminalinchief  trumpisacriminal  trumpisadisgrace  trumpisatraitor  trumpisafraud  trumpisamoron  impeachtrump rally  treasonoustrump https   co  pdpww vnv,HOF,train
officially dead   sixflags  sunburnt lost regular glasses nighttime still wearing sunglasses   douchebag https   co bf iz bdjc,HOF,train
 realdonaldtrump biggest scandal history united states america      impeachtrumpnow   unfit   traitortrump   highcrimesandmisdemeanors   nooneisabovethelaw   obstructionofjustice   trumprussia   collusion   trumpsworsethannixon   illegitimatepresident   fucktrump     resistance      https   co xbxbossojd,HOF,train
 shameonicc  icc investigated choose england venue time  thai may turn scam  fans bought expensive tickets   year ago arrangements cover grounds wrost club cricket   icc   shameonyou,HOF,train
even office yet already twat   dickhead  https   co eg rnwczh ,HOF,train
total bullshit    dickhead https   co ey huzjfjb,HOF,train
 happyjohnmccainday fitting steps away lie stepped lie   trumpisatraitor  sarahsandersresigns  trumpisunhinged betraying america   trumpsaninternationaldisgrace https   co thvrog ncw,HOF,train
 flyaway k unbelievable  government actually wants let people die  fucking despise trump crime syndicate republican party  sickening   fucktrump  fuckthegop  onmythirdbeer,HOF,train
totally wasted  shameonicc,HOF,train
wayyy past time  donthecon face  impeachmenthearingsnow    trumpisawannabedictator   trumpisatraitor   trumpisacriminal   trumpisafraud   amp   trumpobstructedjustice   dems need  lockhimup  https   co bpb xfqdan,HOF,train
 realdonaldtrump happy birthday racist dumbass    tacos lunch honor  picture favorite senator   trumpisatraitor  trumpsucks https   co hzejqsfmpi,HOF,train
mamta pissed doctor someone told handwriting ligible artworks   mamataofficial  aitcofficial   doctorsunderoppression   doctorsfightback    mamatalosingcontrol  savebengal  savethedoctors,HOF,train
 therealoj    stfu  murderer really wish would disappear get public arena   people life may scared  star struck ass kissers may care  us   stupid notice        neverforget    nicolesimpson   rongoldman,HOF,train
 realdonaldtrump  potus let go memory lane   rapist  terroristtrump  nazitrump  putinsbitch  traitor  liarinchief  dementedinchief  predator  justiceforkatie  whereismaria https   co fuo tqs,HOF,train
crypt keeper needs go  dead yet    fucktrump  bebest  orangefoolius  maga  americafirst  asshat  economics    https   co fosr lka f,HOF,train
wait   years see rain england   engvwi  eng  shameonicc,HOF,train
relating doctors security issue political issue   guess wants make political       doctorsfightback    didivsdoctors  doctorsstrike https   co fxyr ihp  ,HOF,train
 dhonikeepstheglove       symbol affect performance bit  hell  remain lower order batsman continue bore us death ultra slow batting  utterly silly outrage bhakts ,HOF,train
great      well done  icc  cricketworldcup      thanks water entertainment          shameonicc https   co rbxaefkuny,HOF,train
oh  dr disrespect  yet another  influencer  thinks fame means rules apply  hope twitch bans life suspension      twitch  drdisrespect  dickhead,HOF,train
 philiprucker seen first ladies tits  realdonaldtrump told truth   yeah hard  traitortrump tell true af point   trumpderangementsyndrome  trumpisatraitor  trumpsaninternationaldisgrace  trumpisunhinged,HOF,train
opposition shame country     gandinaaliabuse,HOF,train
 doctorsfightback  mamataofficial didi worst politicians ever arrogant lady  avinash hodar,HOF,train
 iancarty      senatemajldr home state would underage girls potentially impregnated pastor forced give birth children next year     damn   kentucky  even threw mouth little     mitch pro  rapist  pro  pedophile pro  forcedbirth  nice   ,HOF,train
 aprildryan want following    murderer,HOF,train
 realdonaldtrump  fucktrump disgrace doll hands,HOF,train
video protests evening delhi sikhs make proud  good lessons learnt past  also slap mock delhi sikhs  b  slurs say sikhs states know stand  nope   much   fuckdelhipolice,HOF,train
 incmumbai tumari sarkar jaise sab perfect tha  see blaming    congressdoyourjob  congressmuktbharat  gotohell  ,HOF,train
boris johnson appearances tv  tonight definitely favourite   channel debate  borisjohnsonshouldnotbepm  borisjohnson,HOF,train
icc allow religious political activities wtf  lt  col dhoni wears army insignia pride       dhonikeepstheglove https   co liyr safxl,HOF,train
fuck icc     u want finish wc  giving   pts  u know good bad teams   icc  iccmediacomms  cricketworldcup   shameonicc,HOF,train
zaghari ratcliffe husband  resented boris johnson     https   co ee r jve   borisjohnsonshouldnotbepm    freenazanin,HOF,train
 breathesaltair  lacerci    hillaryclinton  aoc lawyer   lolol      amp  murderous half licenses yanked long time ago   hell believe civil enough keep law license   wth     liar  cheater  thief  amp   murderer   benghazinever get,HOF,train
bunch jokers vission  mission  dedication   iccworldcup       icccricketworldcup  shameonicc,HOF,train
fucking embarrassing  amp  fucking asshole  trumpisatraitor  trumpsaninternationaldisgrace  johnmccainday  impeachtrumpnow  impeachmentinquirynow https   co wljtapb ba,HOF,train
pic    icc chiefs  pic    watching  mausam aaj tak     memeswalabanda  kaamkibakwas  memeswalibandii  sagarcasm mufc    shameonicc https   co hmli ahh,HOF,train
 nbcnews happened bringing jobs back america   fucktrump,HOF,train
 repmikejohnson rather spend tax dollars investigating orange criminal occupying white house  wasting taxpayer money trump endless golfing violates emoluments clause   resist  voteblue  impeachthemf  trumpisaloser  fucktrump,HOF,train
 newsweek know real  trump  america survive four years      fucktrump    fucknewsweek   trumpconcentrationcamps    trumpisatraitor    trumpcriminalinvestigations    trumpsaninternationaldisgrace    trumpresignnow,HOF,train
 libtee  leeniebird  mysterysolvent expect chins daddy double chin  plus daughters vagina underneath face               americasflaghumper  trumpisatraitor https   co f pu msitx,HOF,train
 realdonaldtrump  hillaryclinton winner popular vote   without russian conspiracy  would rightful place white house   illigitimatepresident  lost   trumpisatraitor  trumpsaninternationaldisgrace  trumpcriminalinvestigations  trump  ,HOF,train
 andrewwilliamp   feroxbill   harry         oh bit smart ar e andrew    check started thread  amp  jumped   way make big ar ehole normally     save looking   started thread      dickhead,HOF,train
 douchebag stan kroenke  says moved rams b c st  louis baseball town  however   stlouisblues fans tonight enterprise center busch stadium watching blues jumbotrons watched stan shitty rams teams person  https   co nunoi  x u,HOF,train
boris johnson talk personal life  doesnt want doesnt  couldnt give flying fuck anyway people saying public interest need get life ,HOF,train
really like certain celebrity come  antivaxxer       embarrassing  jessicabiel  dickhead,HOF,train
 icc  shashankmanoha   bcci  biggest insult india dhoni remove  dhonikeepstheglove   paying salaries icc  bcci guts say go hell icc  assure icc begging bowl   need show icc right place ,HOF,train
say  great benefit known pathological liar president tries start war  one believes  trumpisatraitor,HOF,train
 fucktrump joeu president      https   co uiqj  wucs,HOF,train
long fucking time ago   fucktrump lying orange idiot https   co zkorkumi j,HOF,train
